Month,"Stream Flow (cm)","Surface Runoff (cm)","Subsurface Flow (cm)","Point Src Flow (cm)","ET (cm)","Precip (cm)"
Jan,0.07,0.05,0.03,0.00,0.72,2.29
Feb,0.16,0.08,0.09,0.00,1.65,2.70
Mar,0.19,0.02,0.16,0.00,4.08,4.15
Apr,0.18,0.00,0.17,0.00,7.19,4.09
May,0.14,0.00,0.13,0.00,5.51,3.36
Jun,0.10,0.00,0.10,0.00,1.76,1.72
Jul,0.07,0.00,0.07,0.00,2.45,2.45
Aug,0.06,0.00,0.05,0.00,2.94,2.96
Sep,0.05,0.01,0.04,0.00,2.48,2.86
Oct,0.03,0.00,0.03,0.00,2.79,3.04
Nov,0.04,0.02,0.02,0.00,1.88,2.91
Dec,0.05,0.03,0.02,0.00,0.90,2.67
Total,1.14,0.21,0.91,0.00,34.35,35.20
